id,room_id,date,block_type,booking_id,current_rate,channel,min_stay_active,min_stay_nights,floor_rate,channel_partner,offer_id
S01_2026-04-08,S01,2026-04-08,SOFT,BKS1A,2500,OTA,f,1,0,,
TST2242_2026-05-31,TST2242,2026-05-31,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-01,TST2242,2026-06-01,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-02,TST2242,2026-06-02,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-03,TST2242,2026-06-03,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-04,TST2242,2026-06-04,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-05,TST2242,2026-06-05,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-06,TST2242,2026-06-06,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-07,TST2242,2026-06-07,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-08,TST2242,2026-06-08,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-09,TST2242,2026-06-09,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-10,TST2242,2026-06-10,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-11,TST2242,2026-06-11,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-12,TST2242,2026-06-12,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-13,TST2242,2026-06-13,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-14,TST2242,2026-06-14,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-15,TST2242,2026-06-15,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-16,TST2242,2026-06-16,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-17,TST2242,2026-06-17,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-18,TST2242,2026-06-18,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-19,TST2242,2026-06-19,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-20,TST2242,2026-06-20,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-21,TST2242,2026-06-21,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-22,TST2242,2026-06-22,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-23,TST2242,2026-06-23,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-24,TST2242,2026-06-24,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-25,TST2242,2026-06-25,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-26,TST2242,2026-06-26,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-27,TST2242,2026-06-27,EMPTY,,1500,DIRECT,f,1,0,,
TST2242_2026-06-28,TST2242,2026-06-28,EMPTY,,1500,DIRECT,f,1,0,,
S02_2026-04-08,S02,2026-04-08,SOFT,BKS2A,2500,OTA,f,1,0,,
TST2242_2026-06-29,TST2242,2026-06-29,EMPTY,,1500,DIRECT,f,1,0,,
U10_2026-04-21,U10,2026-04-21,SOFT,A1D0F18D,11000,OTA,f,1,0,,
U10_2026-04-22,U10,2026-04-22,SOFT,A1D0F18D,11000,OTA,f,1,0,,
