id,category,base_rate,floor_number,is_active,description
S01,STANDARD,2500,1,t,
S02,STANDARD,2500,1,t,
S03,STANDARD,2500,2,t,
S04,STANDARD,2800,2,t,
S05,STANDARD,2800,3,t,
S06,STANDARD,2800,3,t,
S07,STANDARD,3000,4,t,
S08,STANDARD,3000,4,t,
S09,STANDARD,3000,5,t,
S10,STANDARD,3200,5,t,
D01,DELUXE,5000,1,t,
D02,DELUXE,5000,2,t,
D03,DELUXE,5000,2,t,
D04,DELUXE,5500,3,t,
D05,DELUXE,5500,3,t,
D06,DELUXE,5500,4,t,
D07,DELUXE,6000,4,t,
D08,DELUXE,6000,5,t,
D09,DELUXE,6000,5,t,
D10,DELUXE,6500,6,t,
U01,SUITE,9000,1,t,
U02,SUITE,9000,2,t,
U03,SUITE,9500,2,t,
U04,SUITE,9500,3,t,
U05,SUITE,10000,3,t,
U06,SUITE,10000,4,t,
U07,SUITE,10500,4,t,
U08,SUITE,10500,5,t,
U09,SUITE,11000,5,t,
U10,SUITE,11000,6,t,
E01,ECONOMY,2500,3,f,
E02,ECONOMY,2500,3,f,
E03,ECONOMY,2500,3,f,
E04,ECONOMY,2500,3,f,
E05,ECONOMY,2500,3,f,
E06,ECONOMY,2500,3,f,
E07,ECONOMY,2500,3,f,
E08,ECONOMY,1500,1,t,
E09,ECONOMY,1500,1,t,
E10,ECONOMY,1500,1,t,
E11,ECONOMY,1500,1,t,
E12,ECONOMY,1500,1,t,
E13,ECONOMY,1500,1,t,
E14,ECONOMY,1500,1,t,
TST2242,ECONOMY,1500,1,f,
