id,category,date,recommended_action,current_rate,recommended_rate,change_pct,confidence,reasoning,weather_factor,event_factor,news_factor,is_orphan,occupancy_pct,otb,floor_rate,computed_at
ECONOMY_2026-06-04,ECONOMY,2026-06-04,INCREASE,1517.14,1550,2.2,HIGH,ECONOMY occupancy at 86% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,85.7,6,0,2026-05-31 01:48:15.108339
ECONOMY_2026-06-05,ECONOMY,2026-06-05,INCREASE,1527.14,1550,1.5,HIGH,ECONOMY occupancy at 86% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,85.7,6,0,2026-05-31 01:48:15.108359
ECONOMY_2026-06-06,ECONOMY,2026-06-06,INCREASE,1524.29,1525,0,MEDIUM,ECONOMY occupancy at 71% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,71.4,5,0,2026-05-31 01:48:15.108368
ECONOMY_2026-06-09,ECONOMY,2026-06-09,DISCOUNT,1470,1470,0,MEDIUM,Convention calendar: Citywide conference week - Compression nights expected. Maintain price floor; discount only strande — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,57.1,4,0,2026-05-31 01:48:15.108375
ECONOMY_2026-06-10,ECONOMY,2026-06-10,DISCOUNT,1474.29,1475,0,MEDIUM,Convention calendar: Citywide conference week - Compression nights expected. Maintain price floor; discount only strande — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,57.1,4,0,2026-05-31 01:48:15.108382
ECONOMY_2026-06-13,ECONOMY,2026-06-13,INCREASE,1457.14,1525,4.7,HIGH,ECONOMY occupancy at 86% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,85.7,6,0,2026-05-31 01:48:15.108388
STANDARD_2026-05-31,STANDARD,2026-05-31,INCREASE,2783,2830,1.7,MEDIUM,"STANDARD date-aware demand signal: Weather: Severe thunderstorms forecast (48h), O'Hare Airport: 50+ Flight Cancellations Due to Weather — rate adjustment warranted.","","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108396
STANDARD_2026-06-02,STANDARD,2026-06-02,DISCOUNT,2777,2775,-0.1,LOW,STANDARD occupancy at 30% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,30,3,0,2026-05-31 01:48:15.108403
STANDARD_2026-06-05,STANDARD,2026-06-05,INCREASE,2751,2830,2.9,HIGH,STANDARD occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108409
STANDARD_2026-06-06,STANDARD,2026-06-06,INCREASE,2756,2840,3,HIGH,STANDARD occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108415
STANDARD_2026-06-07,STANDARD,2026-06-07,INCREASE,2781,2840,2.1,HIGH,STANDARD occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108421
STANDARD_2026-06-08,STANDARD,2026-06-08,DISCOUNT,2804,2775,-1,LOW,STANDARD occupancy at 30% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,30,3,0,2026-05-31 01:48:15.108427
STANDARD_2026-06-09,STANDARD,2026-06-09,DISCOUNT,2836,2775,-2.2,LOW,STANDARD occupancy at 20% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,20,2,0,2026-05-31 01:48:15.108433
STANDARD_2026-06-11,STANDARD,2026-06-11,DISCOUNT,2794,2775,-0.7,LOW,STANDARD occupancy at 10% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,10,1,0,2026-05-31 01:48:15.10844
STANDARD_2026-06-12,STANDARD,2026-06-12,INCREASE,2790,2840,1.8,HIGH,STANDARD occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108447
STANDARD_2026-06-13,STANDARD,2026-06-13,INCREASE,2766,2850,3,HIGH,STANDARD occupancy at 90% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,90,9,0,2026-05-31 01:48:15.108453
DELUXE_2026-05-31,DELUXE,2026-05-31,INCREASE,5464,5700,4.3,HIGH,DELUXE occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108461
DELUXE_2026-06-01,DELUXE,2026-06-01,INCREASE,5462,5700,4.4,HIGH,DELUXE occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108467
